tile	thin:	thick:	black:
0	L1a	L2b	L3a
1	L1a	L2c	L3a
2	L1a	L2a	L3a
3	L1a	L2d	L3a
4	L1b	L2b	L3a
5	L1b	L2c	L3a
6	L1b	L2a	L3a
7	L1b	L2d	L3a
8	L1c	L2m	L3b
9	L1c	L2m	L3c
10	L1c	L2i	L3b
11	L1c	L2i	L3c
12	L1c	L2t	L3c
13	L1c	L2e	L3c
14	L1c	L2j	L3c
15	L1c	L2h	L3c
16	L1c	L2l	L3b
17	L1c	L2f	L3b
18	L1c	L2r	L3b
19	L1c	L2g	L3b
20	L1c	L2o	L3b
21	L1c	L2o	L3c
22	L1c	L2k	L3b
23	L1c	L2k	L3c
24	L1c	L2n	L3b
25	L1c	L2n	L3c
26	L1c	L2q	L3b
27	L1c	L2q	L3c
28	L1c	L2p	L3b
29	L1c	L2p	L3c
30	L1c	L2s	L3b
31	L1c	L2s	L3c
32	L1a	L2m	L3b
33	L1a	L2m	L3c
34	L1a	L2i	L3b
35	L1a	L2i	L3c
36	L1a	L2t	L3c
37	L1a	L2e	L3c
38	L1a	L2j	L3c
39	L1a	L2h	L3c
40	L1a	L2l	L3b
41	L1a	L2f	L3b
42	L1a	L2r	L3b
43	L1a	L2g	L3b
44	L1a	L2o	L3b
45	L1a	L2o	L3c
46	L1a	L2k	L3b
47	L1a	L2k	L3c
48	L1a	L2n	L3b
49	L1a	L2n	L3c
50	L1a	L2q	L3b
51	L1a	L2q	L3c
52	L1a	L2p	L3b
53	L1a	L2p	L3c
54	L1a	L2s	L3b
55	L1a	L2s	L3c
56	L1d	L2t	L3d
57	L1d	L2t	L3e
58	L1d	L2e	L3d
59	L1d	L2j	L3d
60	L1d	L2j	L3e
61	L1d	L2h	L3e
62	L1d	L2l	L3d
63	L1d	L2l	L3e
64	L1d	L2f	L3d
65	L1d	L2r	L3d
66	L1d	L2r	L3e
67	L1d	L2g	L3e
68	L1d	L2o	L3d
69	L1d	L2o	L3e
70	L1d	L2k	L3d
71	L1d	L2n	L3d
72	L1d	L2n	L3e
73	L1d	L2q	L3e
74	L1d	L2p	L3d
75	L1d	L2p	L3e
76	L1d	L2s	L3d
77	L1d	L2m	L3d
78	L1d	L2m	L3e
79	L1d	L2i	L3e
80	L1a	L2t	L3d
81	L1a	L2t	L3e
82	L1a	L2e	L3d
83	L1a	L2j	L3d
84	L1a	L2j	L3e
85	L1a	L2h	L3e
86	L1a	L2l	L3d
87	L1a	L2l	L3e
88	L1a	L2f	L3d
89	L1a	L2r	L3d
90	L1a	L2r	L3e
91	L1a	L2g	L3e
